17993,F' R' L2 B D' L2
17996,U L2 D2 L2 B2
17997,L F2 R' D L' F'
17998,L2 U' F2 D' R2
17999,R U' F R2 B'
18005,L F2 R' U2 B D F2
18006,L F2 R' B L' D
18007,R U2 R B2 L' F' D'
18008,L F2 R' B D F
18009,L F2 R' B L D
18010,L F2 R' B D F'
18011,L F2 R' B D
18012,F2 U D F L B2
18013,L F2 R' B L2 D
18014,L2 U' D' R2 F' L
18015,U2 R B2 L' F' D'
18016,F2 U2 R2 D F L
18017,L D' F2 R' B D
18018,L F B L F R' D
18021,L D F2 R' B D
18022,L F2 R' B D2 R D'
18023,L D2 F2 R' B D
18024,R L F2 R' B D F'
18030,F2 U2 R2 D F2
18031,L F2 U R' D F
18032,F2 U D F2 B2
18033,L F2 R' D F
18034,L F2 R' L D
18035,L F2 R' D F'
18036,L F2 R' D
18037,F2 U D F B2
18038,L F2 R' L2 D
18039,F2 D2 L2 D' F'
18040,F2 D2 R L2 D'
18041,F2 U2 R2 D F
18042,L F2 R' D F2
18043,L F L F R' D
18044,F2 U D B2
18045,L F2 R' L2 D F'
18048,R L F2 R' L D
18049,R L F2 R' D F'
18055,L2 F U R2 B' D' L'
18056,L2 F R2 B' R D' L'
18057,L2 F R2 B' D' L'
18058,R' U' F R2 B' L'
18059,R L2 F R2 B' D' L'
18060,U' F R2 B' L'
18061,L F2 R' B' D L'
18062,U L2 B R D2 B
18063,L D' F2 R' L2 B' D
18064,U B R L2 F' D2
18065,R L2 U' B' D' R2 L'
18066,R2 U' F R2 B' L'
18067,B' U L' B2 R
18068,L2 U' B' D' R2 L' F'
18069,U2 B' R2 F D L'
18070,U' F R2 B' L' F'
18073,L2 U' B' D' R2 L'
18074,R U' F R2 B' L'
18080,B2 U L2 D2 B2
18081,U' L F2 D2 F R2
18082,U L2 D2 F2 B2
18083,L D F2 R' D F
18084,R' L2 U2 B2 D' L'
18085,U L2 D2 F B2
18086,D L F2 R' D
18087,U L2 B D2 B
18088,L D F2 R' L2 D
18089,U L2 D2 F' B2
18090,R L2 D2 F2 D L
18091,U L2 B' D2 B'
18092,U' R2 U2 L2 B2
18093,F' D' R' L2 B D'
18094,F2 D2 L2 D' L2
18095,L B D F2 R' D
18096,U L2 D2 B2
18097,R F2 D2 L2 D' L' F'
18105,R L2 U2 F B2 D' F
18106,R L2 U2 F R' B2 D'
18107,R L2 U2 F R B2 D'
18108,L F2 R' B' D F
18109,R L2 F R2 B' D'
18110,L F2 R' B' D F'
18111,L F2 R' B' D
18112,R U' F D' R2 F2 B'
18113,L F2 R' L2 B' D
18114,L2 D2 F2 D F L
18115,R L2 U2 F B2 D'
18116,L2 U' D' R2 F L
