163851,L2 F D F B L
210726,L2 D F B L F R'
226351,U L2 F' D B L'
241976,U L2 D R B L'
257601,R U L2 D B R L'
273226,U L2 D B L'
288851,F' U' D2 R' F' L
304476,F' U' D2 F' L
320101,L F2 D F B L D'
335726,L2 D' F2 B' L' B2
351351,F' U' D2 F' R' L
366976,L F2 D F L D'
382601,U L2 D B R L'
86351,L' B2 R2 F D' F
101976,L F' L2 D B L' D2
117601,L' U' B2 R2 F D'
133226,R L' B' U' R2 D' L2
148851,L' D2 B D R' F2
164476,L' D2 F B D F
180101,L U D L2 B D B
195726,L2 B L D2 B D F2
242601,R L F U L2 F B2
258226,L' B' U' R2 D' L2
273851,L U L2 B D B
289476,L' D2 B D R F2
305101,L' D2 B D F2 R'
320726,L' D2 F' B D F'
336351,L' D2 B D F2
351976,L' B D' R F2 L
367601,L F U L2 F B2
383226,R L' D2 F B D F
86976,F2 U R2 B L'
102601,L2 D' F2 R2 B' R L'
118226,R2 F2 U B L'
133851,F U F R' B L'
149476,R' F2 U B L'
165101,F U D F B L'
180726,F2 R' U B L'
196351,F' U D F' B L'
243226,R F2 U B L'
258851,F2 U B L' U R2
274476,D F2 U B L'
290101,D2 F2 U B R L'
305726,D2 F2 U B L'
321351,D' F2 U B R L'
336976,D' F2 U B L'
352601,F2 U B R L'
368226,F2 U B L'
383851,D F2 U B R L'
87601,L2 B2 L' F' D' F'
103226,R L' B L2 D F2 R'
118851,R2 F2 D L F' D'
134476,R L D2 F' B' D' F'
150101,R L' B D R2 F2
165726,R2 F2 L F' B' D' F
181351,R L' U B L2 F' D
196976,R F' U' D F' L
212601,L' D R B D F2
228226,R L2 F' D F L F2
275101,R L' B D F2
290726,F' R' U' F' L B2
306351,R L' B D F2 R'
321976,R L' F' B D F'
337601,R2 F2 L F' D' F
353226,R L' B D R F2
368851,R L' B D R' F2
384476,R L2 F D F L
88226,L F' B2 D' F' B
103851,L F' D' F' B' R
119476,R2 F2 U L2 B L'
135101,F' U' F' L B' R
150726,L2 D' B' R' L' F2
166351,L2 F D F L B'
181976,L D' F' D' F' B'
197601,F' U' D F' L B'
213226,L2 D' F2 B' R' L'
228851,B L F' D' F' B2
275726,L' B D F2 B2
291351,L F' D' B' R' F'
306976,L' F2 B' R' U' L2
322601,L F' B D' F' B2
